node_id,author_channel_id,handle_autor,videos_distintos_comentados,total_comentarios,grado_proyeccion,grado_ponderado_proyeccion,intermediacion,cercania,pagerank,es_punto_articulacion_mayor,rol_estructural
author::UCHTGCgY2l-DQJIvlA_cpa_Q,UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,2,3,145,145,0.2390216363026032,0.5169102267911581,0.005243132694827842,True,Autor puente estructural (corte inter-comunidad)
author::UCpsKOkt5iWTbenzeuq7dsmQ,UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,3,3,183,184,0.2202830883377316,0.541408341804957,0.00733003416017253,True,Autor puente estructural (corte inter-comunidad)
author::UCzZ6dDCEsLMXbc5pCFXIprw,UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,2,2,49,49,0.18266044127071318,0.3727150411773113,0.0050979354025684495,True,Autor puente estructural (corte inter-comunidad)
author::UCylqlpsh8ENNM1LqgQ1KbxA,UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,2,3,174,175,0.09364643412981781,0.5077207116482041,0.005727961087341258,False,Autor recurrente multividal
author::UCjZgFEowMBrsjodqfovzdKw,UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,2,2,43,43,0.05778632243889041,0.27427889584836956,0.005323075459191375,True,Autor puente estructural (corte inter-comunidad)
author::UCvcu1kR8xMYy_I1Ty-2mV2Q,UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,3,4,28,29,0.057401812688821684,0.35149895421798744,0.006193584266399186,True,Autor puente estructural (corte inter-comunidad)
author::UCbrtvygfRT6QXqWDNrOf-cA,UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,2,2,23,24,0.032683328755836266,0.34881575609418597,0.004537389467839012,False,Autor recurrente multividal
author::UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,2,2,133,133,0.02955537245567456,0.4597068817740278,0.004680699718536436,True,Autor puente estructural (corte inter-comunidad)
author::UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,2,2,54,54,0.02955537245567456,0.3586724022632525,0.004416353688681809,True,Autor puente estructural (corte inter-comunidad)
author::UCCUmP4PlbwgikVFpYwbtRTg,UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCOY3XpD9qMCRSA8AA8c4CAw,UCOY3XpD9qMCRSA8AA8c4CAw,@franciscorodas9686,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCTTILH6QCIxbTnEWxwRqs1g,UCTTILH6QCIxbTnEWxwRqs1g,@3762Jorge,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCXO1BBohNWXkK9SBDAG2ySg,UCXO1BBohNWXkK9SBDAG2ySg,@JBFlute92,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCXVLc8CmAO813ubM-fLvCDw,UCXVLc8CmAO813ubM-fLvCDw,@herminiasaquimux7565,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCXl30Y_upRqbti52fmjK4YA,UCXl30Y_upRqbti52fmjK4YA,@capitanfrans,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCcFIBN-rtC3d3hXeuN5TfWw,UCcFIBN-rtC3d3hXeuN5TfWw,@DenisRMC,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCc_F88PzGWtA1OPNUEASulA,UCc_F88PzGWtA1OPNUEASulA,@rockyscarlet,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCdQAuWwyC99MB7Y02Umj26Q,UCdQAuWwyC99MB7Y02Umj26Q,@miguelbran1268,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCefAH1MbvADWUjE9WVcB9EQ,UCefAH1MbvADWUjE9WVcB9EQ,@jabriz8152,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UChT7pzGytNd92Nmvi-zuWog,UChT7pzGytNd92Nmvi-zuWog,@sparkvalkov,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCkxdJ_yGN2gghOMo2ybQtXQ,UCkxdJ_yGN2gghOMo2ybQtXQ,@11223344An,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCwEe1RKlEv1UpNWmWYfSh4w,UCwEe1RKlEv1UpNWmWYfSh4w,@marioramirez299,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UCxcoDvP-g2_KTZDmVZtvb3w,UCxcoDvP-g2_KTZDmVZtvb3w,@angelmartinez9523,1,1,15,15,4.776518634393323e-06,0.2510706815842767,0.003038650949471555,False,Comentador intra-video
author::UC5wuDq3U3vRAhOQI3D7gNdw,UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,1,1,9,9,4.776518634393323e-06,0.34151617375439736,0.0019228331088015495,False,Comentador intra-video
author::UCJp3OrVYcBorC94sKwdch_A,UCJp3OrVYcBorC94sKwdch_A,@ULJoshmg2011,1,1,9,9,4.776518634393323e-06,0.34151617375439736,0.0019228331088015495,False,Comentador intra-video
author::UCVC2QugcI1G4RvlCiUqd1aQ,UCVC2QugcI1G4RvlCiUqd1aQ,@rwdm76,1,2,9,9,4.776518634393323e-06,0.34151617375439736,0.0019228331088015495,False,Comentador intra-video
author::UCZOmq6MwFDVoCaEl99BRRaw,UCZOmq6MwFDVoCaEl99BRRaw,@daniloarevalo3170,1,1,9,9,4.776518634393323e-06,0.34151617375439736,0.0019228331088015495,False,Comentador intra-video
author::UC_6KbBY1bsYXz9fwFS0eQRg,UC_6KbBY1bsYXz9fwFS0eQRg,@imrcp5694,1,1,9,9,4.776518634393323e-06,0.34151617375439736,0.0019228331088015495,False,Comentador intra-video
author::UCjJf-AJKRFFWtiN-CSwkDmA,UCjJf-AJKRFFWtiN-CSwkDmA,@2jose82,1,1,9,9,4.776518634393323e-06,0.34151617375439736,0.0019228331088015495,False,Comentador intra-video
author::UCnU8wO1OurAmGstDw6VGjgQ,UCnU8wO1OurAmGstDw6VGjgQ,@cmorera21,1,1,9,9,4.776518634393323e-06,0.34151617375439736,0.0019228331088015495,False,Comentador intra-video
author::UC-hfX8J5JPJ-dfuakzegMLA,UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC-jS_kA9w-OmpupXDx156Rg,UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC-pNP6RMFuLg_-x7Ah_0kEA,UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC1vr9aaMI2crB0NvwFHUeoQ,UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC2Y_EHWQKevubk4vOEBBFxw,UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC2weSE8rpqkGMOp6StYtVfg,UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC3E9mAgP7VoAE5mZoAexl5g,UC3E9mAgP7VoAE5mZoAexl5g,@EnnioAroche,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC3MYTqpQqlWBuCB7Th0e0PA,UC3MYTqpQqlWBuCB7Th0e0PA,@isaaclopez7220,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC3NMzdMYryaw82kPTnsaljg,UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC3XTwHxygNCgjndsg-UiCQA,UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,1,3,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC3qn1yJA5PeW9rkGPatQxiw,UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC4cXueR2bKGFJV0Fk76gwmA,UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC4wq3DcbfaG6dtCqn8Oyu3w,UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC5H8ASmMC9WrURmzeB4ySog,UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,1,5,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC5bG9nc_JV3FsNP2KseQiYw,UC5bG9nc_JV3FsNP2KseQiYw,@giovannirodas4836,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC650pRT-OYzny3GwOH8Cgfw,UC650pRT-OYzny3GwOH8Cgfw,@edvinparedesherrera7632,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC6PvO1_k5lHKGdAPo5_C6TA,UC6PvO1_k5lHKGdAPo5_C6TA,@johnmejia992,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC6YSZqL0vEcI-niPKIMUGfw,UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC72gBAtyb_VXQlYDcFrh6oQ,UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,1,3,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC7VUuJr9cGh845CmTvf7TlQ,UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC8F2V63KZ4ZEay6opX2hAQw,UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC8G5cJONY8L9voMyBW8Eoug,UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
author::UC8r11yOugM2NuRfitQOxLLg,UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,1,1,127,127,3.0516646830846214e-06,0.45422330067930783,0.003268711512314818,False,Comentador intra-video
