red,grado,nodos,proporcion_nodos,grado_ponderado_medio
bipartita_autor_video,0,274,0.4384,0.0
bipartita_autor_video,1,327,0.5232,1.18348623853211
bipartita_autor_video,2,8,0.0128,2.25
bipartita_autor_video,3,3,0.0048,3.3333333333333335
bipartita_autor_video,4,1,0.0016,4.0
bipartita_autor_video,6,1,0.0016,6.0
bipartita_autor_video,7,2,0.0032,7.0
bipartita_autor_video,10,1,0.0016,12.0
bipartita_autor_video,13,1,0.0016,14.0
bipartita_autor_video,16,1,0.0016,16.0
bipartita_autor_video,18,1,0.0016,25.0
bipartita_autor_video,19,1,0.0016,25.0
bipartita_autor_video,25,1,0.0016,25.0
bipartita_autor_video,32,1,0.0016,45.0
bipartita_autor_video,49,1,0.0016,50.0
bipartita_autor_video,128,1,0.0016,161.0
proyeccion_autor_autor,0,4,0.012048192771084338,0.0
proyeccion_autor_autor,1,2,0.006024096385542169,1.0
proyeccion_autor_autor,2,3,0.009036144578313253,2.0
proyeccion_autor_autor,3,4,0.012048192771084338,3.0
proyeccion_autor_autor,5,5,0.015060240963855422,5.0
proyeccion_autor_autor,6,12,0.03614457831325301,6.0
proyeccion_autor_autor,9,7,0.02108433734939759,9.0
proyeccion_autor_autor,12,12,0.03614457831325301,12.0
proyeccion_autor_autor,15,14,0.04216867469879518,15.0
proyeccion_autor_autor,17,18,0.05421686746987952,17.0
proyeccion_autor_autor,18,17,0.05120481927710843,18.0
proyeccion_autor_autor,23,1,0.0030120481927710845,24.0
proyeccion_autor_autor,24,25,0.07530120481927711,24.0
proyeccion_autor_autor,28,1,0.0030120481927710845,29.0
proyeccion_autor_autor,31,30,0.09036144578313253,31.0
proyeccion_autor_autor,43,1,0.0030120481927710845,43.0
proyeccion_autor_autor,48,46,0.13855421686746988,48.0
proyeccion_autor_autor,49,1,0.0030120481927710845,49.0
proyeccion_autor_autor,54,1,0.0030120481927710845,54.0
proyeccion_autor_autor,127,124,0.37349397590361444,127.0
proyeccion_autor_autor,133,1,0.0030120481927710845,133.0
proyeccion_autor_autor,145,1,0.0030120481927710845,145.0
proyeccion_autor_autor,174,1,0.0030120481927710845,175.0
proyeccion_autor_autor,183,1,0.0030120481927710845,184.0
proyeccion_video_video,0,283,0.9658703071672355,0.0
proyeccion_video_video,1,3,0.010238907849829351,1.0
proyeccion_video_video,2,4,0.013651877133105802,2.25
proyeccion_video_video,3,1,0.0034129692832764505,4.0
proyeccion_video_video,4,2,0.006825938566552901,5.0
