node_id,node_type,label,author_channel_id,video_id,title,channel_name,category,view_count,has_observed_edge
author::UC-HeUTT6_g-VoiWds2a4H-w,author,@JorgeMunoz-gd9et,UC-HeUTT6_g-VoiWds2a4H-w,,,,,,True
author::UC-Iul5tDYH_oiAMXQH-KaaQ,author,@AlbertoMancilla-p9h,UC-Iul5tDYH_oiAMXQH-KaaQ,,,,,,True
author::UC-QOpE7GOxlXcHZ8b7HbQKA,author,@mariaalexander427,UC-QOpE7GOxlXcHZ8b7HbQKA,,,,,,True
author::UC-fiZBS5Gp1eCJd9ucgWnCg,author,@Tommii.10,UC-fiZBS5Gp1eCJd9ucgWnCg,,,,,,True
author::UC-hfX8J5JPJ-dfuakzegMLA,author,@normaleticiaorozcojuarez2418,UC-hfX8J5JPJ-dfuakzegMLA,,,,,,True
author::UC-jS_kA9w-OmpupXDx156Rg,author,@simoncreyesc7579,UC-jS_kA9w-OmpupXDx156Rg,,,,,,True
author::UC-pNP6RMFuLg_-x7Ah_0kEA,author,@almacatalan2717,UC-pNP6RMFuLg_-x7Ah_0kEA,,,,,,True
author::UC094EFEmMSdwVa8NQjjYBXg,author,@CelestinoQuej-j7k,UC094EFEmMSdwVa8NQjjYBXg,,,,,,True
author::UC0HvfEWozTHbwl_iEmJNvVA,author,@OttoPalencia-b7r,UC0HvfEWozTHbwl_iEmJNvVA,,,,,,True
author::UC0RpuMwkDKJYqgKHtsJRuWQ,author,@sabinamarinaguerra3248,UC0RpuMwkDKJYqgKHtsJRuWQ,,,,,,True
author::UC0aEyakBPqcBkVJiErfSupQ,author,@jhonymanuel9891,UC0aEyakBPqcBkVJiErfSupQ,,,,,,True
author::UC14qlobYKqD-DO0j6b75lcA,author,@megavision4488,UC14qlobYKqD-DO0j6b75lcA,,,,,,True
author::UC1DpqK6vaPEkBOMNvypsKYg,author,@HectorCarranza-u4j4o,UC1DpqK6vaPEkBOMNvypsKYg,,,,,,True
author::UC1NiEdJ7gk6FlDexIalWnGg,author,@BorisTebalán,UC1NiEdJ7gk6FlDexIalWnGg,,,,,,True
author::UC1WlJfQmaIskYhP4gmWoamw,author,@marthareiss5434,UC1WlJfQmaIskYhP4gmWoamw,,,,,,True
author::UC1Y7x3h0c95Z8kUhi-Tzaeg,author,@rosadiaz9235,UC1Y7x3h0c95Z8kUhi-Tzaeg,,,,,,True
author::UC1vr9aaMI2crB0NvwFHUeoQ,author,@JoseSimilox-p6e,UC1vr9aaMI2crB0NvwFHUeoQ,,,,,,True
author::UC2Y_EHWQKevubk4vOEBBFxw,author,@alfonsomorales2653,UC2Y_EHWQKevubk4vOEBBFxw,,,,,,True
author::UC2ngpd8UBQu4gcUYy0goAtg,author,@juliohernandez7438,UC2ngpd8UBQu4gcUYy0goAtg,,,,,,True
author::UC2weSE8rpqkGMOp6StYtVfg,author,@katerynsantiago2907,UC2weSE8rpqkGMOp6StYtVfg,,,,,,True
author::UC32oozucwCF3q8d4m8fyOUg,author,@RauldejesusOlivagonzalez,UC32oozucwCF3q8d4m8fyOUg,,,,,,True
author::UC3E9mAgP7VoAE5mZoAexl5g,author,@EnnioAroche,UC3E9mAgP7VoAE5mZoAexl5g,,,,,,True
author::UC3MYTqpQqlWBuCB7Th0e0PA,author,@isaaclopez7220,UC3MYTqpQqlWBuCB7Th0e0PA,,,,,,True
author::UC3NMzdMYryaw82kPTnsaljg,author,@marisosa7832,UC3NMzdMYryaw82kPTnsaljg,,,,,,True
author::UC3UVO7pTbeYvZ3ILEyRDskQ,author,@rosaelenaargueta79,UC3UVO7pTbeYvZ3ILEyRDskQ,,,,,,True
author::UC3XTwHxygNCgjndsg-UiCQA,author,@marioajset4283,UC3XTwHxygNCgjndsg-UiCQA,,,,,,True
author::UC3YpzAr7pcdKC7BVFEpYzog,author,@carmenfigueroa1232,UC3YpzAr7pcdKC7BVFEpYzog,,,,,,True
author::UC3iIU62XKUOWuqL8BqBzj9A,author,@antonioduarte2288,UC3iIU62XKUOWuqL8BqBzj9A,,,,,,True
