tipo_entidad,identificador,etiqueta,canal_origen,comunidad_pertenencia,metrica_intermediacion,grado_ponderado,esferas_que_articula,impacto_remocion
Video articulador,n8iP75gIpmw,Qué rico come tu diputado,Quorum,Comunidad 1,0.6388888888888888,5,Articula 4 videos adyacentes,"Fragmenta la componente en 3 subredes (tamaños: [5, 3, 1])"
Video articulador,ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,Comunidad 3,0.5277777777777778,5,Articula 4 videos adyacentes,"Fragmenta la componente en 2 subredes (tamaños: [7, 2])"
Video articulador,PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Comunidad 2,0.38888888888888884,2,Articula 2 videos adyacentes,"Fragmenta la componente en 2 subredes (tamaños: [7, 2])"
Video articulador,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,Comunidad 1,0.2222222222222222,4,Articula 3 videos adyacentes,"Fragmenta la componente en 2 subredes (tamaños: [8, 1])"
Video articulador,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Comunidad 2,0.2222222222222222,2,Articula 2 videos adyacentes,"Fragmenta la componente en 2 subredes (tamaños: [8, 1])"
Autor puente,UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,N/A (Espectador / comentarista),"Inter-comunidades: [1, 2]",0.2390216363026032,145,Puente inter-comunitario entre C1/C2 (2 videos comentados),Punto de corte en componente gigante de autores
Autor puente,UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,N/A (Espectador / comentarista),"Inter-comunidades: [1, 3]",0.2202830883377316,184,Puente inter-comunitario entre C1/C3 (3 videos comentados),Punto de corte en componente gigante de autores
Autor puente,UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,N/A (Espectador / comentarista),Comunidad 2,0.18266044127071318,49,Cohesión intra-comunitaria en C2 (2 videos comentados),Punto de corte en componente gigante de autores
Autor puente,UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,N/A (Espectador / comentarista),Comunidad 1,0.09364643412981781,175,Cohesión intra-comunitaria en C1 (2 videos comentados),Reduce intensidad de enlace sin desconectar componente
Autor puente,UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,N/A (Espectador / comentarista),Comunidad 2,0.05778632243889041,43,Cohesión intra-comunitaria en C2 (2 videos comentados),Punto de corte en componente gigante de autores
Autor puente,UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,N/A (Espectador / comentarista),Comunidad 3,0.057401812688821684,29,Cohesión intra-comunitaria en C3 (3 videos comentados),Punto de corte en componente gigante de autores
Autor puente,UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,N/A (Espectador / comentarista),Comunidad 3,0.032683328755836266,24,Cohesión intra-comunitaria en C3 (2 videos comentados),Reduce intensidad de enlace sin desconectar componente
Autor puente,UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,N/A (Espectador / comentarista),Comunidad 1,0.02955537245567456,133,Cohesión intra-comunitaria en C1 (2 videos comentados),Punto de corte en componente gigante de autores
Autor puente,UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,N/A (Espectador / comentarista),Comunidad 1,0.02955537245567456,54,Cohesión intra-comunitaria en C1 (2 videos comentados),Punto de corte en componente gigante de autores
