comment_id,video_id,author_channel_id,author_handle,titulo_video,canal,categoria_video,texto_original,texto_limpio,puntaje_bruto,sentimiento,categoria_sentimiento,terminos_lexico,terminos_positivos,terminos_negativos,emojis_valorados,negaciones_aplicadas,texto_vacio,cobertura_lexica,comunidad_id
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,UCdFlugHJJa4l3YqWuNRmvXw,/@MarcosCarillo-b1r,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,Ese corrupto amigo de la vieja fiscal los tengo que verbose en la carcel,corrupto amigo vieja fiscal tengo verbose carcel,-3.0,-0.6124,negativo,1,,corrupto,,0,False,True,1
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,06mFNPU0aB8,UCvl1tzQeBeGy6efPTRJXSCw,/@RaulPerez-cw2vi,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,"Están jóvenes porque no buscan un trabajo,  tuvieron suerte que no hay policías que le gusta del otro vando , por ir vestido de mujer se los hubieran ensamblado la maquinaria.",están jóvenes buscan trabajo tuvieron suerte policías gusta otro vando ir vestido mujer hubieran ensamblado maquinaria,1.5,0.3612,positivo,1,gusta,,,0,False,True,2
Ugw0xaOb2CYXXoudtwJ4AaABAg,j43HgwYFKfk,UCRAquv8el-tQ30bN7MlmySQ,/@iamjimalesssa,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,"Me dejaron con ganas de demandar la ilegalidad de las reuniones virtuales, esto no es una maquila",dejaron ganas demandar ilegalidad reuniones virtuales maquila,-2.0,-0.4588,negativo,1,,ilegalidad,,0,False,True,1
Ugw0xgUc2ISpBr5_T654AaABAg,j43HgwYFKfk,UCkbsS_3D-pvg1iHOld9uvIg,/@gonzalo6075,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,Veremos a este mafioso de Mazariegos en la cárcel y un buen tiempo en la sombra.,veremos mafioso mazariegos cárcel buen tiempo sombra,-1.0,-0.25,negativo,2,buen,mafioso,,0,False,True,1
Ugw1ZzA21njWhaqQQTh4AaABAg,OkXlHx0hx-8,UCOLHH4ZpMxPYF-Q6e6wvn5A,/@luisroldan7374,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,"eso es para que salga de USA por su propio pie 
que se auto deporten",salga usa propio pie auto deporten,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,0
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,/@eugeneramirez4405,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,Imagine if they had to walk back home.,imagine if they had to walk back home,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,0
Ugw2014OIYf336oytFt4AaABAg,yLZS3JiEBg8,UCXl30Y_upRqbti52fmjK4YA,/@capitanfrans,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,buenísima investigacion :hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,buenísima investigacion hand purple blue peace hand purple blue peace hand purple blue peace,7.0,0.875,positivo,1,buenísima,,:hand-purple-blue-peace::hand-purple-blue-peace::hand-purple-blue-peace:,0,False,True,3
Ugw2bSVOoNn2pc8ZcUl4AaABAg,n8iP75gIpmw,UCRelkU8JiZBytTzebJxaa-w,/@danyraymundo2942,Qué rico come tu diputado,Quorum,News & Politics,"Lleven su lonchera, sacrifiquense un poco. Y reintevren ese dinero. O están robando.",lleven lonchera sacrifiquense reintevren dinero están robando,-3.0,-0.6124,negativo,1,,robando,,0,False,True,1
Ugw3gnUvLp6AqO0_odt4AaABAg,lj983NWyAQY,UCgLurCo-e019HGODcjXHWCw,/@perritojuega1,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,Viva Guatemala 🇬🇹🇬🇹🇬🇹🥳🥳🥳,viva guatemala,9.5,0.926,positivo,1,viva,,🥳🥳🥳,0,False,True,0
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,UCDIMztpVm7G27qBuiWuT6oQ,/@lizardomorataya8274,Qué rico come tu diputado,Quorum,News & Politics,LADRONES !!!!,ladrones,-4.77,-0.7763,negativo,1,,ladrones,,0,False,True,1
Ugw4St_YnT9_Ya5xSPt4AaABAg,ndAZjHqzzT8,UCZOmq6MwFDVoCaEl99BRRaw,/@daniloarevalo3170,Internet: escoger el menos malo,Quorum,News & Politics,"Otro pequeño truco es que tenés un plan mensual de Gb y redes ilimitadas y luego te mandan mensaje que consumiste el 95% de tu plan y ahi viene el caos verificas el consumo de tus datos y solo has utilizado redes, con un mínimo de internet y por ende hay que hacer una recarga adicional,,, porque vas a averiguar y solo te dicen que sí consumiste tus datos y ya,,,,a recargar,,un negoció redondo para ambas empresas 🤮🤮😠😠💵💵",otro pequeño truco tenés plan mensual gb redes ilimitadas luego mandan mensaje consumiste plan ahi viene caos verificas consumo tus datos solo has utilizado redes mínimo internet ende hacer recarga adicional vas averiguar solo dicen sí consumiste tus datos recargar negoció redondo ambas empresas,-13.0,-0.9584,negativo,1,,caos,🤮🤮😠😠,0,False,True,3
Ugw4ccnmIWJaE6VNRWN4AaABAg,6W4u8sGEnGM,UCFybmWapGvBKcQod7cPPH9w,/@vitalianochavez8382,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,Que bien que cambio de nombre,cambio nombre,1.5,0.3612,positivo,1,bien,,,0,False,True,2
Ugw5E402-fn52PLXFIJ4AaABAg,n8iP75gIpmw,UCh5ESQvtzyHDhCA7XyekCFA,/@andyB5280,Qué rico come tu diputado,Quorum,News & Politics,Tiene un poquito de oro y no habla como resolver los problemas .,poquito oro habla resolver problemas,-1.0,-0.25,negativo,1,,problemas,,0,False,True,1
Ugw5URsiAF9QVoniY-l4AaABAg,n8iP75gIpmw,UCWIZUtKJ636y-4TYrNvok0g,/@cesarandreas7824,Qué rico come tu diputado,Quorum,News & Politics,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",diputados alcanza sueldo busquen otro trabajo sea departamentos capital,0.0,0.0,sin cobertura léxica,0,,,,0,False,False,1
Ugw5xMAuDaygo77ynI94AaABAg,n8iP75gIpmw,UCzoL2l5H5eVlorWGH8AZfAg,/@jor77cas,Qué rico come tu diputado,Quorum,News & Politics,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",lamentable excusas reclama ve trabajo realizan sueldon costeen propios alimentos tienen ir restaurantes lujo pueblo luchando llevar pan mesa muchos ni llegan,-4.95,-0.7876,negativo,3,,lamentable | excusas | reclama,,0,False,True,1
